,Associated names,Authority,Bibliography,Culture/period,Curator's comments,Date,Denomination,Description,Inscriptions,Materials,Museum number,Object type,Production place,State,Subjects,Weight (g)
39,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1938,0510.154",coin,Minted in: Numidia,Roman Empire,,9.94
40,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1938,0510.141",coin,Minted in: Thapsus,Roman Empire,,7.9
41,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1938,0510.142",coin,Minted in: Thapsus,Roman Empire,,7.88
42,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1972,0703.1",coin,Minted in: Africa,Roman Empire,,19.62
43,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1938,0510.119",coin,Minted in: Carthage,Roman Empire,,7.66
44,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1938,0510.120",coin,Minted in: Carthage,Roman Empire,,8.06
45,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1938,0510.121",coin,Minted in: Carthage,Roman Empire,,8.69
46,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.316,coin,Minted in: Leptis Minor,Roman Empire,,27.35
47,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1909,0102.35",coin,Minted in: Leptis Minor,Roman Empire,,9.93
48,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1939,0318.2",coin,Minted in: Hadrumetum,Roman Empire,,7.12
49,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"G1874,0715.431",coin,Minted in: Achulla,Roman Empire,,23.4
50,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1892,0905.1",coin,Minted in: Sabratha,Roman Empire,,5.26
51,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1938,0206.4",coin,Minted in: Sabratha,Roman Empire,,6.33
52,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1897,0104.537",coin,Minted in: Sabratha,Roman Empire,,10.51
53,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1929,0802.1",coin,Minted in: Sabratha,Roman Empire,,23.21
54,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"G1874,0715.492",coin,Minted in: Sabratha,Roman Empire,,16.09
55,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"G1874,0715.429",coin,Minted in: Lepcis Magna,Roman Empire,,15.35
56,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"G1874,0715.430",coin,Minted in: Lepcis Magna,Roman Empire,,4.56
57,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.296,coin,Minted in: Lepcis Magna,Roman Empire,,6.9
58,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1860,0326.173",coin,Minted in: Lepcis Magna,Roman Empire,,17.02
59,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1951,0606.1",coin,Minted in: Lepcis Magna,Roman Empire,,1.94
60,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1866,1201.698",coin,Minted in: Africa,Roman Empire,,2.84
61,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1912,1202.2",coin,Minted in: Africa,Roman Empire,,2.05
62,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1908,1111.83",coin,Minted in: Africa,Roman Empire,,3.76
63,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1843,0726.36",coin,Minted in: Africa,Roman Empire,,1.45
64,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1936,0818.1",coin,Minted in: Africa,Roman Empire,,1.9
65,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1908,1101.5",coin,Minted in: Africa,Roman Empire,,0.93
66,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1908,1101.6",coin,Minted in: Africa,Roman Empire,,4.29
67,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1921,0311.1",coin,Minted in: Africa,Roman Empire,,4.41
68,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1916,0405.1",coin,Minted in: Africa,Roman Empire,,4.32
69,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1913,1204.3",coin,Minted in: Africa,Roman Empire,,4.3
70,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1925,0302.5",coin,Minted in: Sardinia,Roman Empire,,19.11
71,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1924,0411.15",coin,Minted in: Africa,Roman Empire,,15.26
72,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1951,1208.9",coin,Minted in: Apamea,Roman Empire,,
73,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1988,0516.8",coin,Minted in: Dioshieron,Roman Empire,,2.11
74,,Ruler:  Augustus (Octavian),RPC1 2736/5,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1951,1208.22",coin,Minted in: Cos,Roman Empire,,4.17
75,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1897,0104.748",coin,Minted in: Caralis,Roman Empire,,31.04
76,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1947,0504.14",coin,Minted in: Caralis,Roman Empire,,28.41
77,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1988,0516.9",coin,Minted in: Hypaepa,Roman Empire,,2.46
78,,Ruler:  Augustus (Octavian),RPC1 2736/4,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1947,0606.185",coin,Minted in: Cos,Roman Empire,,3.38
79,,Ruler:  Augustus (Octavian),RPC1 2870/2,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1937,0614.9",coin,Minted in: Tabae,Roman Empire,,7.13
80,,Ruler:  Augustus (Octavian),RPC1 2870/1,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1898,0601.35",coin,Minted in: Tabae,Roman Empire,,6.37
81,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Copper coin.,,copper,"1991,0905.1",coin,Minted in: Sidon,Roman Empire,,8.46
82,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Copper coin.,,copper,"1991,0130.103",coin,Minted in: Paterna,Roman Empire,,21.77
83,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Bronze coin.,,bronze,"1988,1126.1",coin,Minted in: Carthage,Roman Empire,,2.5
84,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Bronze coin.,,bronze,"1988,0122.3",coin,Minted in: Trapezopolis,Roman Empire,,2.99
85,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Bronze coin.,,bronze,"1988,0906.4",coin,Minted in: Hadrumetum,Roman Empire,,13.89
86,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Bronze coin.,,bronze,"1988,0906.3",coin,Minted in: Thapsus,Roman Empire,,5.69
87,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Bronze coin.,,bronze,"1988,0106.2",coin,Minted in: Hadrumetum,Roman Empire,,10.26
88,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Bronze coin.,,bronze,"1988,0106.1",coin,Minted in: Achulla,Roman Empire,,12.41
89,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Bronze coin.,,bronze,"1987,1140.1",coin,Minted in: Hypaepa,Roman Empire,,3.87
90,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1977,0501.3",coin,Minted in: Antiochia ad Orontem,Roman Empire,,6.42
91,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1979,0610.10",coin,Minted in: Mallus,Roman Empire,,3.8
92,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Bronze coin.,,bronze,"1987,0413.1",coin,Minted in: Thysdrus,Roman Empire,,9.37
93,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1986,1002.1",coin,Minted in: Thaena,Roman Empire,,8.17
94,,Ruler:  Augustus (Octavian),"BMC Greek (Alexandria) 24, p.3",Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Alexandria,Roman Empire,,3.64
95,,Ruler:  Augustus (Octavian),"BMC Greek (Alexandria) 23, p.3",Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Alexandria,Roman Empire,,4.17
96,,Ruler:  Augustus (Octavian),"BMC Greek (Alexandria) 22, p.3",Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Alexandria,Roman Empire,,2.41
97,,Ruler:  Augustus (Octavian),"BMC Greek (Alexandria) 18, p.3",Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Alexandria,Roman Empire,,5.2
98,,Ruler:  Augustus (Octavian),"BMC Greek (Alexandria) 17, p.3",Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Alexandria,Roman Empire,,6.19
99,,Ruler:  Augustus (Octavian),"BMC Greek (Alexandria) 16, p.3",Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Alexandria,Roman Empire,,11.02
100,,Ruler:  Augustus (Octavian),"BMC Greek (Alexandria) 12, p.2",Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Alexandria,Roman Empire,,13.64
101,,Ruler:  Augustus (Octavian),"BMC Greek (Alexandria) 8, p.2",Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Alexandria,Roman Empire,,1.71
102,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1974,1109.18",coin,Minted in: Cyprus,Roman Empire,,3.84
103,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1933,0403.2",coin,Minted in: Cyprus,Roman Empire,,4.63
104,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1974,1109.19",coin,Minted in: Cyprus,Roman Empire,,2.83
105,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1903,0302.5",coin,Minted in: Cyprus,Roman Empire,,6.73
106,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1926,0909.1",coin,Minted in: Cyprus,Roman Empire,,6.99
107,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1915,0204.2",coin,Minted in: Cyprus,Roman Empire,,8.46
108,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1934,0312.58",coin,Minted in: Termessus Minor,Roman Empire,,5.23
109,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1910,1013.17",coin,Minted in: Termessus Minor,Roman Empire,,4.92
110,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1909,0504.101",coin,Minted in: Antiochia (Pisidia),Roman Empire,,10.52
111,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1935,0212.10",coin,Minted in: Siblia,Roman Empire,,4.88
112,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1951,1208.30",coin,Minted in: Apamea,Roman Empire,,6.26
113,,Ruler:  Augustus (Octavian),"BMC Greek (Phrygia) 138, p.92",Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Apamea,Roman Empire,,7.08
114,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1972,0308.4",coin,Minted in: Sardis,Roman Empire,,7.96
115,,Ruler:  Augustus (Octavian),RPC1 2787/1,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1963,0626.2",coin,Minted in: Mylasa,Roman Empire,,3.5
116,,Ruler:  Augustus (Octavian),RPC1 2798/1,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1921,0313.2",coin,Minted in: Euromus,Roman Empire,,3.4
117,,Ruler:  Augustus (Octavian) (?),RPC1 2846/1,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1971,1005.1",coin,Minted in: Attuda,Roman Empire,,5.02
118,,Ruler:  Augustus (Octavian),RPC1 2511/3,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1947,0606.1100",coin,Minted in: Teos,Roman Empire,,4.17
119,,Ruler:  Augustus (Octavian),RPC1 2512/4,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1947,0703.6",coin,Minted in: Teos,Roman Empire,,3.76
120,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1914,0905.51",coin,Minted in: Smyrna,Roman Empire,,4.97
121,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1903,0204.141",coin,Minted in: Smyrna,Roman Empire,,4.23
122,,Ruler:  Augustus (Octavian),BMC Greek (Ionia) 251.p267,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Smyrna,Roman Empire,,3.67
123,,Ruler:  Augustus (Octavian),RPC1 2492/3,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.796,coin,Minted in: Clazomenae,Roman Empire,,4.19
124,,Ruler:  Augustus (Octavian),RPC1 2311/6,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1897,0503.54",coin,Minted in: Ilium,Roman Empire,,3.07
125,,Ruler:  Augustus (Octavian),RPC1 2311/5,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1902,0610.10",coin,Minted in: Ilium,Roman Empire,,3.19
126,,Ruler:  Augustus (Octavian),RPC1 2307/1,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1937,0614.8",coin,Minted in: Ilium,Roman Empire,,1.86
127,,Ruler:  Augustus (Octavian),RPC1 2300/1,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1940,1001.106",coin,Minted in: Ilium,Roman Empire,,1.58
128,,Ruler:  Augustus (Octavian),RPC1 2302?,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1940,1001.107",coin,Minted in: Ilium,Roman Empire,,2.18
129,,Ruler:  Augustus (Octavian) (?),RPC1 2296/1,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1940,1001.88",coin,Minted in: Dardanus,Roman Empire,,1.76
130,,Ruler:  Augustus (Octavian) (?),RPC1 2298/2,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1919,0502.2",coin,Minted in: Dardanus,Roman Empire,,2.47
131,,Ruler:  Augustus (Octavian),RPC1 2284/1,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1870,0508.6",coin,Minted in: Abydus,Roman Empire,,2.15
132,,Ruler:  Augustus (Octavian),RPC1 2360/5,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1972,0308.1",coin,Minted in: Pergamum,Roman Empire,,4.71
133,,Ruler:  Augustus (Octavian),RPC1 2357/2,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1894,0706.38",coin,Minted in: Pergamum,Roman Empire,,6.02
134,,Ruler:  Augustus (Octavian),RPC1 2358/3,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1971,1215.2",coin,Minted in: Pergamum,Roman Empire,,7.17
135,,Ruler:  Augustus (Octavian),RPC1 1656/8,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1974,0802.1",coin,Minted in: Philippi,Roman Empire,,3.27
136,,Ruler:  Augustus (Octavian),RPC1 1656/6,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1947,0606.1267",coin,Minted in: Philippi,Roman Empire,,3.89
137,,Ruler:  Augustus (Octavian),RPC1 1656/7,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1949,0507.2",coin,Minted in: Philippi (?),Roman Empire,,5.05
138,,Ruler:  Augustus (Octavian),RPC1 2274/3,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1940,1001.22",coin,Minted in: Lampsacus,Roman Empire,,2.93
139,,Ruler:  Augustus (Octavian),RPC1 2244/3,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1919,0417.110",coin,Minted in: Cyzicus,Roman Empire,,3.48
140,,Ruler:  Augustus (Octavian),RPC1 2243/1,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1919,0417.109",coin,Minted in: Cyzicus,Roman Empire,,2.94
141,,Ruler:  Augustus (Octavian),RPC1 2331,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,G.741,coin,Minted in: Adramyteum,Roman Empire,,3.45
142,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1946,1205.12",coin,Minted in: Cyrenaica (archaic),Roman Empire,,12.39
143,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1954,0106.1",coin,Minted in: Cyrenaica (archaic),Roman Empire,,7.88
144,,Ruler:  Augustus (Octavian),BMC Greek (Cyrenaica) 43.p120,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Cyrenaica (archaic),Roman Empire,,1.78
145,,Ruler:  Augustus (Octavian),BMC Greek (Cyrenaica) 41.p120,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Cyrenaica (archaic),Roman Empire,,7.91
146,,Ruler:  Augustus (Octavian),BMC Greek (Cyrenaica) 40.p119,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,,coin,Minted in: Cyrenaica (archaic),Roman Empire,,10.8
147,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1947,0606.546",coin,Minted in: Lappa,Roman Empire,,2.17
148,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1947,0606.545",coin,Minted in: Lappa,Roman Empire,,4.39
149,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1947,0606.544",coin,Minted in: Lappa,Roman Empire,,3.76
150,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1927,0310.76",coin,Minted in: Lappa,Roman Empire,,3.22
151,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1947,0606.736",coin,Minted in: Gortyna,Roman Empire,,2.77
152,,Ruler:  Augustus (Octavian),,Roman Provincial,,27BC-14,,Alloy coin.,,alloy,"1920,0805.1477",coin,Minted in: Cydonia,Roman Empire,,5.53
