"URI","Title","RecordId","Authority","Coin Type URI","Date on Object","Degree","Deity","Denomination","Department","Diameter","Dynasty","Engraver","Era","Findspot","Findspot URI","Issuer","Maker","Manufacture","Material","Mint","Obverse Legend","Obverse Type","Object Type","Portrait","Reference","Region","Reverse Legend","Reverse Type","Weight","Year","Date Record Modified"
"http://numismatics.org/search/id/0000.999.31174","Bronze Sestertius of Augustus, 27 BC - AD 14. 0000.999.31174","0000.999.31174","Augustus","","","","","Sestertius","Roman","","","","","","","Augustus","","Cast","Bronze","","?","Head laur. r.","Cf","Augustus","","","?","'S C' monogram","","-26|14","2015-02-13T21:53:57Z"
"http://numismatics.org/search/id/0000.999.31178","Bronze Sestertius of Augustus, 27 BC - AD 14. 0000.999.31178","0000.999.31178","Augustus","","","","","Sestertius","Roman","","","","","","","Augustus","","Cast","Bronze","","DIVVS AVGVSTVS PATER","Head rad. l.","Cf","Augustus","","","S C","Eagle on globe","","-26|14","2015-02-13T21:53:57Z"
"http://numismatics.org/search/id/0000.999.30768","Bronze Semis of Augustus, 27 BC - AD 14. 0000.999.30768","0000.999.30768","Augustus","","","","","Semis","Roman","","","","","","","Augustus","","","Bronze","","","Head laur. r.","Cf","Augustus","","","IMP CAESAR","Rostral column","","-26|14","2015-02-13T21:53:42Z"
"http://numismatics.org/search/id/0000.999.30769","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30769","0000.999.30769","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAESAR AVGVSTVS","Bare head l.","Cf","Augustus","","","DIVVS IVLIVS","Comet","","-26|14","2015-02-13T21:53:42Z"
"http://numismatics.org/search/id/0000.999.30770","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30770","0000.999.30770","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Head laur. r.","Cf","Augustus","","","C L CAESARES","Two soldiers","","-26|14","2015-02-13T21:53:42Z"
"http://numismatics.org/search/id/0000.999.30771","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30771","0000.999.30771","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Head laur. r.","Cf","Augustus","","","C L CAESARES","Two soldiers","","-26|14","2015-02-13T21:53:42Z"
"http://numismatics.org/search/id/0000.999.30774","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30774","0000.999.30774","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Bare head r.","Cf","Augustus","","","IMP CAESAR","Curia","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30775","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30775","0000.999.30775","Augustus","","","","Victory","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Quadriga","Cf","Augustus","","","IMP CAESAR","Victory on prow","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30776","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30776","0000.999.30776","Augustus","","","","Mars","Denarius","Roman","","","","","","","Augustus","","","Bronze","","AVGVSTVS CAESAR","Bare head r.","Cf","Augustus","","","SIGNIS RECEPTIS","Mars","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30777","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30777","0000.999.30777","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","AVGVSTVS CAESAR","Bare head r.","Cf","Augustus","","","OB CIVES SERVATOS","Inscription within wreath","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30778","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30778","0000.999.30778","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Bare head l.","Cf","Augustus","","","IMP CAESAR DIVI F","Shield","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30779","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30779","0000.999.30779","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAESAR AVGVSTVS","Bare head l.","Cf","Augustus","","","IOV TON","Temple","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30781","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30781","0000.999.30781","Augustus","","","","Victory","Denarius","Roman","","","","","","","Augustus","","","Bronze","","IMP CAESAR","Prow r.","Cf","Augustus","","","IMP CAESAR DIVI F","Victory","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30782","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30782","0000.999.30782","Augustus|Agrippa","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAEAER AVGVSTVS","Bare head r.","Cf","Augustus|Agrippa","","","L PLATORINVS III VIR","Agrippa","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30783","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30783","0000.999.30783","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Bare head r.","Cf","Augustus","","","IMP CAESAR","Rostral column","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30784","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30784","0000.999.30784","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","AVGVSTVS DIVI F","Bare head r.","Cf","Augustus","","","","Bull","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30785","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30785","0000.999.30785","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Bare head r.","Cf","Augustus","","","COSSVS LENTVLVS","Statue","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30786","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30786","0000.999.30786","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Head laur. r.","Cf","Augustus","","","CAESAR AVGVSTVS","Two oak trees","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30787","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30787","0000.999.30787","Augustus|Agrippa","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","?","Head with turreted crown","Cf","Augustus|Agrippa","","","AVGVSTVS COS XI","Agrippa","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/0000.999.30788","Bronze Denarius of Augustus, 27 BC - AD 14. 0000.999.30788","0000.999.30788","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","?","Head w/ crown","Cf","Augustus","","","R L CE CAESAR","Jester","","-26|14","2015-02-13T21:53:43Z"
"http://numismatics.org/search/id/1969.22.7","Bronze Sestertius of Augustus, 27 BC - AD 14. 1969.22.7","1969.22.7","Augustus","","","","","Sestertius","Roman","","","","","","","Augustus","","Cast","Bronze","","AVGVSTVS TRIBVNIC POTEST","Inscription in wreath","Cf","Augustus","","","C CASSO","'S C' monogram","","-26|14","2015-02-25T19:10:14Z"
"http://numismatics.org/search/id/1973.239.15","Bronze Denarius of Augustus, 27 BC - AD 14. 1973.239.15","1973.239.15","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","IMP CAESAR","Bare head r.","Cf","Augustus","","","AVGVSTVS","Capricorn","","-26|14","2015-02-25T21:17:52Z"
"http://numismatics.org/search/id/1956.158.1","Bronze Denarius of Augustus, 27 BC - AD 14. 1956.158.1","1956.158.1","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAESAR","Bare head r.","Cf","Augustus","","","AVGVSTVS","Heifer","","-26|14","2015-02-20T20:53:13Z"
"http://numismatics.org/search/id/1947.125.1","Bronze Denarius of Augustus, 27 BC - AD 14. 1947.125.1","1947.125.1","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Head laur. r.","Cf","Augustus","","","IMP CAESAR","Rostral column","","-26|14","2015-02-19T20:18:11Z"
"http://numismatics.org/search/id/1959.101.23","Bronze Sestertius of Augustus, 27 BC - AD 14. 1959.101.23","1959.101.23","Augustus","","","","","Sestertius","Roman","","","","","","","Augustus","","Cast","Bronze","","?","Bare head l.","Cf","Augustus","","","ROM ET AVG","Altar w/ two angles","","-26|14","2015-02-20T21:33:50Z"
"http://numismatics.org/search/id/1959.101.4","Bronze Denarius of Augustus, 27 BC - AD 14. 1959.101.4","1959.101.4","Augustus","","","","Mars","Denarius","Roman","","","","","","","Augustus","","","Bronze","","AVGVSTVS CAESAR","Bare head r.","Cf","Augustus","","","SIGNIS RECEPTIS","Mars","","-26|14","2015-02-20T21:33:56Z"
"http://numismatics.org/search/id/1959.101.5","Bronze Denarius of Augustus, 27 BC - AD 14. 1959.101.5","1959.101.5","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAESAR AVG IMP","Bare head r.","Cf","Augustus","","","EX S C","Inscription within wreath","","-26|14","2015-02-20T21:33:58Z"
"http://numismatics.org/search/id/1960.170.406","Bronze Denarius of Augustus, 27 BC - AD 14. 1960.170.406","1960.170.406","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","IMP IX","Bare head r.","Cf","Augustus","","","MART VLTO","Temple","","-26|14","2015-02-20T21:49:36Z"
"http://numismatics.org/search/id/1963.145.1","Bronze Denarius of Augustus, 27 BC - AD 14. 1963.145.1","1963.145.1","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAESAR AVGVSTVS","Bare head r.","Cf","Augustus","","","DIVVS IVLIVS","Comet","","-26|14","2015-02-20T22:52:39Z"
"http://numismatics.org/search/id/1949.98.8","Bronze Denarius of Augustus, 27 BC - AD 14. 1949.98.8","1949.98.8","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAESAR DIVI F COS VI","Bare head r.","Cf","Augustus","","","AEGYPTO CAPTA","Crocodille r.","","-26|14","2015-02-19T21:06:19Z"
"http://numismatics.org/search/id/1949.98.9","Bronze Denarius of Augustus, 27 BC - AD 14. 1949.98.9","1949.98.9","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAESAR DIVI F COS VI","Bare head r.","Cf","Augustus","","","AEGYPTO CAPTA","Crocodille r.","","-26|14","2015-02-19T21:06:21Z"
"http://numismatics.org/search/id/1949.98.10","Bronze Denarius of Augustus, 27 BC - AD 14. 1949.98.10","1949.98.10","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Head laur. r.","Cf","Augustus","","","C L CAESARES","Two soldiers","","-26|14","2015-02-19T21:05:02Z"
"http://numismatics.org/search/id/1949.98.11","Bronze Denarius of Augustus, 27 BC - AD 14. 1949.98.11","1949.98.11","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Head laur. r.","Cf","Augustus","","","C L CAESARES AVCVS TIP COS DESICPRIVCIVVIN","Two soldiers","","-26|14","2015-02-19T21:05:03Z"
"http://numismatics.org/search/id/1949.98.12","Bronze Denarius of Augustus, 27 BC - AD 14. 1949.98.12","1949.98.12","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Head laur. r.","Cf","Augustus","","","C L CAESARES","Two soldiers","","-26|14","2015-02-19T21:05:05Z"
"http://numismatics.org/search/id/1949.98.127","Bronze Sestertius of Augustus, 27 BC - AD 14. 1949.98.127","1949.98.127","Augustus","","","","","Sestertius","Roman","","","","","","","Augustus","","Cast","Bronze","","?","Two heads looking away","Cf","Augustus","","","COL NEM","?","","-26|14","2015-02-19T21:05:06Z"
"http://numismatics.org/search/id/1949.98.128","Bronze Sestertius of Augustus, 27 BC - AD 14. 1949.98.128","1949.98.128","Augustus","","","","","Sestertius","Roman","","","","","","","Augustus","","Cast","Bronze","","?","Bare head r.","Cf","Augustus","","","S C","S C in wreath","","-26|14","2015-02-19T21:05:06Z"
"http://numismatics.org/search/id/1949.98.129","Bronze Sestertius of Augustus, 27 BC - AD 14. 1949.98.129","1949.98.129","Augustus","","","","","Sestertius","Roman","","","","","","","Augustus","","Cast","Bronze","","?","Emperor on throne","Cf","Augustus","","","CIVITATIBVS ASIAE RESTITVTIS","'S C' monogram","","-26|14","2015-02-19T21:05:06Z"
"http://numismatics.org/search/id/1949.98.13","Bronze Denarius of Augustus, 27 BC - AD 14. 1949.98.13","1949.98.13","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","","Head laur. r.","Cf","Augustus","","","CAESAR AVGVSTVS","Two oak trees","","-26|14","2015-02-19T21:05:06Z"
"http://numismatics.org/search/id/1949.98.130","Bronze Sestertius of Augustus, 27 BC - AD 14. 1949.98.130","1949.98.130","Augustus","","","","","Sestertius","Roman","","","","","","","Augustus","","Cast","Bronze","","?","Head laur. r.","Cf","Augustus","","","ROM ET AVG","Altar w/ two angles","","-26|14","2015-02-19T21:05:07Z"
"http://numismatics.org/search/id/1949.98.133","Bronze Sestertius of Augustus, 27 BC - AD 14. 1949.98.133","1949.98.133","Augustus","","","","","Sestertius","Roman","","","","","","","Augustus","","Struck","Bronze","","DIVVS AVGVSTVS PATER","Head laur l.","Cf","Augustus","","","","Six figures","","-26|14","2015-02-19T21:05:07Z"
"http://numismatics.org/search/id/1966.114.3","Bronze Denarius of Augustus, 27 BC - AD 14. 1966.114.3","1966.114.3","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAESAR DIVI F COS VI","Bare head r.","Cf","Augustus","","","AEGYPTO CAPTA","Crocodille r.","","-26|14","2015-02-20T23:28:36Z"
"http://numismatics.org/search/id/1966.114.4","Bronze Denarius of Augustus, 27 BC - AD 14. 1966.114.4","1966.114.4","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAESAR COS VI","Bare head r.","Cf","Augustus","","","AEGYPTO CAPTA","Crocodille r.","","-26|14","2015-02-20T23:28:38Z"
"http://numismatics.org/search/id/1966.114.7","Bronze Denarius of Augustus, 27 BC - AD 14. 1966.114.7","1966.114.7","Augustus|Agrippa","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAEAER AVGVSTVS","Bare head r.","Cf","Augustus|Agrippa","","","L PLATORINVS III VIR","Agrippa","","-26|14","2015-02-20T23:28:44Z"
"http://numismatics.org/search/id/1966.114.9","Bronze Denarius of Augustus, 27 BC - AD 14. 1966.114.9","1966.114.9","Augustus|Agrippa","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","CAEAER AVGVSTVS","Bare head r.","Cf","Augustus|Agrippa","","","L PLATORINVS III VIR","Agrippa","","-26|14","2015-02-20T23:28:44Z"
"http://numismatics.org/search/id/1964.234.2","Bronze Denarius of Augustus, 27 BC - AD 14. 1964.234.2","1964.234.2","Augustus","","","","","Denarius","Roman","","","","","","","Augustus","","","Bronze","","DIVVS AVGVSTVS I M","Head laur. l.","Cf","Augustus","","","S C","Inscription","","-26|14","2015-02-20T23:13:05Z"
"http://numismatics.org/search/id/1944.100.69667","Bronze Diobol of Augustus, Alexandreia, 27 BC - 8 BC. 1944.100.69667","1944.100.69667","Augustus","","","","","Diobol","Roman","25.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head r.","Coin","Augustus","D.9v|M.2","Egypt","","ritual vase","10.01","-26|-7","2015-06-18T19:26:47Z"
"http://numismatics.org/search/id/1944.100.69668","Bronze Diobol of Augustus, Alexandreia, 27 BC - 8 BC. 1944.100.69668","1944.100.69668","Augustus","","","","","Diobol","Roman","26.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head r.","Coin","Augustus","D.9v|M.2","Egypt","","ritual vase","14.51","-26|-7","2015-06-18T19:26:47Z"
"http://numismatics.org/search/id/1944.100.69669","Bronze Obol of Augustus, Alexandreia, 27 BC - 8 BC. 1944.100.69669","1944.100.69669","Augustus","","","","","Obol","Roman","21.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head r.","Coin","Augustus","D.10|M.7","Egypt","","pontifical instruments","6.91","-26|-7","2015-06-18T19:26:47Z"
"http://numismatics.org/search/id/1944.100.69670","Bronze Obol of Augustus, Alexandreia, 27 BC - 8 BC. 1944.100.69670","1944.100.69670","Augustus","","","","","Obol","Roman","22.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head r.","Coin","Augustus","D.10|M.7","Egypt","","pontifical instruments","5.39","-26|-7","2015-06-18T19:26:47Z"
"http://numismatics.org/search/id/1944.100.69681","Bronze Chalkous of Augustus, Alexandreia, 11 BC - 10 BC. 1944.100.69681","1944.100.69681","Augustus","","","","","Chalkous","Roman","17.0","","","","","","Augustus","","","Bronze","Alexandreia","","round altar","Coin","Augustus","D.45|M.8","Egypt","","cornucopiae","3.617","-10|-9","2015-06-18T19:26:47Z"
"http://numismatics.org/search/id/1944.100.69682","Bronze Chalkous of Augustus, Alexandreia, 11 BC - 10 BC. 1944.100.69682","1944.100.69682","Augustus","","","","","Chalkous","Roman","17.0","","","","","","Augustus","","","Bronze","Alexandreia","","round altar","Coin","Augustus","D.45|M.8","Egypt","","cornucopiae","3.39","-10|-9","2015-06-18T19:26:48Z"
"http://numismatics.org/search/id/1944.100.69683","Bronze Chalkous of Augustus, Alexandreia, 11 BC - 10 BC. 1944.100.69683","1944.100.69683","Augustus","","","","","Chalkous","Roman","17.0","","","","","","Augustus","","","Bronze","Alexandreia","","prow r.","Coin","Augustus","D.48|M.-","Egypt","","legend within wreath","3.14","-10|-9","2015-06-18T19:26:48Z"
"http://numismatics.org/search/id/1944.100.69684","Bronze Chalkous of Augustus, Alexandreia, 11 BC - 10 BC. 1944.100.69684","1944.100.69684","Augustus","","","","","Chalkous","Roman","15.0","","","","","","Augustus","","","Bronze","Alexandreia","","Ibis stg. r.","Coin","Augustus","D.-|M.-","Egypt","","crocodile r.","1.46","-10|-9","2015-06-18T19:26:48Z"
"http://numismatics.org/search/id/1944.100.69685","Bronze Chalkous of Augustus, Alexandreia, AD 5 - AD 6. 1944.100.69685","1944.100.69685","Augustus","","","","","Chalkous","Roman","12.0","","","","","","Augustus","","","Bronze","Alexandreia","","crescent?","Coin","Augustus","D.49|M.-","Egypt","","legend within wreath","0.6","5|6","2015-06-18T19:26:48Z"
"http://numismatics.org/search/id/1944.100.69686","Bronze Chalkous of Augustus, Alexandreia, AD 8 - AD 9. 1944.100.69686","1944.100.69686","Augustus","","","","","Chalkous","Roman","11.0","","","","","","Augustus","","","Bronze","Alexandreia","","legend","Coin","Augustus","D.-|M.-","Egypt","","legend","0.74","8|9","2015-06-18T19:26:48Z"
"http://numismatics.org/search/id/1944.100.69687","Bronze Chalkous of Augustus, Alexandreia, AD 8 - AD 9. 1944.100.69687","1944.100.69687","Augustus","","","","","Chalkous","Roman","12.0","","","","","","Augustus","","","Bronze","Alexandreia","","legend","Coin","Augustus","D.-|M.-","Egypt","","Crescent","0.82","8|9","2015-06-18T19:26:48Z"
"http://numismatics.org/search/id/1944.100.69688","Bronze Obol of Augustus, Alexandreia, AD 8 - AD 9. 1944.100.69688","1944.100.69688","Augustus","","","","","Obol","Roman","23.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head r.","Coin","Augustus","","Egypt","","Capricorn","6.85","8|9","2015-06-18T19:26:48Z"
"http://numismatics.org/search/id/1944.100.69689","Bronze Obol of Augustus, Alexandreia, AD 8 - AD 9. 1944.100.69689","1944.100.69689","Augustus","","","","","Obol","Roman","25.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head r.","Coin","Augustus","D.35|M.-","Egypt","","Capricorn","8.94","8|9","2015-06-18T19:26:48Z"
"http://numismatics.org/search/id/1944.100.69690","Bronze Diobol of Augustus, Alexandreia, AD 9 - AD 10. 1944.100.69690","1944.100.69690","Augustus","","","","","Diobol","Roman","25.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head r.","Coin","Augustus","D.37|M.-","Egypt","","date within wreath","10.6","9|10","2015-06-18T19:26:48Z"
"http://numismatics.org/search/id/1944.100.69691","Bronze Diobol of Augustus, Alexandreia, AD 9 - AD 10. 1944.100.69691","1944.100.69691","Augustus","","","","","Diobol","Roman","26.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head r.","Coin","Augustus","D.37|M.-","Egypt","","date within wreath","13.11","9|10","2015-06-18T19:26:48Z"
"http://numismatics.org/search/id/1944.100.69692","Bronze Dichalkon of Augustus, Alexandreia, AD 9 - AD 10. 1944.100.69692","1944.100.69692","Augustus","","","","","Dichalkon","Roman","20.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head r.","Coin","Augustus","D.38|M.-","Egypt","","date within wreath","3.38","9|10","2015-06-18T19:26:48Z"
"http://numismatics.org/search/id/1944.100.69712","Bronze Obol of Augustus, Alexandreia, 2 BC - AD 14. 1944.100.69712","1944.100.69712","Augustus","","","","","Obol","Roman","25.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head laur. r.","Coin","Augustus","D.53|M.-","Egypt","","Capricorn","8.22","-1|14","2015-06-18T19:26:49Z"
"http://numismatics.org/search/id/1944.100.69713","Bronze Obol of Augustus, Alexandreia, 2 BC - AD 14. 1944.100.69713","1944.100.69713","Augustus","","","","","Obol","Roman","26.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head laur. r.","Coin","Augustus","D.53|M.-","Egypt","","Capricorn","7.56","-1|14","2015-06-18T19:26:49Z"
"http://numismatics.org/search/id/1944.100.69716","Bronze Chalkous of Augustus, Alexandreia, AD 11 - AD 12. 1944.100.69716","1944.100.69716","Augustus","","","","","Chalkous","Roman","14.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head laur. r.","Coin","Augustus","D.-|M.-","Egypt","","date within wreath","1.3","11|12","2015-06-18T19:26:49Z"
"http://numismatics.org/search/id/1944.100.69717","Bronze Obol of Augustus, Alexandreia, 2 BC - AD 14. 1944.100.69717","1944.100.69717","Augustus","","","","","Obol","Roman","20.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head laur. r.","Coin","Augustus","D.55|M.21","Egypt","","Cornucopiae","5.2","-1|14","2015-06-18T19:26:49Z"
"http://numismatics.org/search/id/1944.100.69718","Bronze Obol of Augustus, Alexandreia, 2 BC - AD 14. 1944.100.69718","1944.100.69718","Augustus","","","","","Obol","Roman","20.0","","","","","","Augustus","","","Bronze","Alexandreia","","Head laur. r.","Coin","Augustus","D.55|M.21","Egypt","","Cornucopiae","3.26","-1|14","2015-06-18T19:26:50Z"
"http://numismatics.org/search/id/1944.100.69719","Bronze Chalkous of Augustus, Alexandreia, 2 BC - AD 14. 1944.100.69719","1944.100.69719","Augustus","","","","","Chalkous","Roman","14.0","","","","","","Augustus","","","Bronze","Alexandreia","","crocodile","Coin","Augustus","D.-|M.-","Egypt","","legend","1.09","-1|14","2015-06-18T19:26:50Z"
"http://numismatics.org/search/id/1944.100.69720","Bronze Chalkous of Augustus, Alexandreia, 2 BC - AD 14. 1944.100.69720","1944.100.69720","Augustus","","","","","Chalkous","Roman","14.0","","","","","","Augustus","","","Bronze","Alexandreia","","crocodile","Coin","Augustus","D.-|M.-","Egypt","","legend","1.73","-1|14","2015-06-18T19:26:50Z"
